2017-06-18 23:28:44,033 [MainThread] DEBUG Palmmedia.WpfGraph.UI.ViewModels.GraphViewModel`2[[Palmmedia.WpfGraph.UI.ViewModels.NodeData, Palmmedia.WpfGraph.UI, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null],[Palmmedia.WpfGraph.UI.ViewModels.EdgeData, Palmmedia.WpfGraph.UI, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]] [(null)] - Added node: Position: 27,24,0, Text: 4
2017-06-18 23:28:44,033 [MainThread] DEBUG Palmmedia.WpfGraph.UI.ViewModels.GraphViewModel`2[[Palmmedia.WpfGraph.UI.ViewModels.NodeData, Palmmedia.WpfGraph.UI, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null],[Palmmedia.WpfGraph.UI.ViewModels.EdgeData, Palmmedia.WpfGraph.UI, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]] [(null)] - Selected new element: Position: 27,24,0, Text: 4
2017-06-18 23:28:44,034 [MainThread] DEBUG Palmmedia.WpfGraph.UI.ViewModels.GraphViewModel`2[[Palmmedia.WpfGraph.UI.ViewModels.NodeData, Palmmedia.WpfGraph.UI, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null],[Palmmedia.WpfGraph.UI.ViewModels.EdgeData, Palmmedia.WpfGraph.UI, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]] [(null)] - Added node: Position: 44,24,0, Text: 5
2017-06-18 23:28:44,034 [MainThread] DEBUG Palmmedia.WpfGraph.UI.ViewModels.GraphViewModel`2[[Palmmedia.WpfGraph.UI.ViewModels.NodeData, Palmmedia.WpfGraph.UI, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null],[Palmmedia.WpfGraph.UI.ViewModels.EdgeData, Palmmedia.WpfGraph.UI, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]] [(null)] - Selected new element: Position: 44,24,0, Text: 5
2017-06-18 23:28:44,035 [MainThread] DEBUG Palmmedia.WpfGraph.UI.ViewModels.GraphViewModel`2[[Palmmedia.WpfGraph.UI.ViewModels.NodeData, Palmmedia.WpfGraph.UI, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null],[Palmmedia.WpfGraph.UI.ViewModels.EdgeData, Palmmedia.WpfGraph.UI, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]] [(null)] - Added node: Position: -24,41,0, Text: 6
2017-06-18 23:28:44,035 [MainThread] DEBUG Palmmedia.WpfGraph.UI.ViewModels.GraphViewModel`2[[Palmmedia.WpfGraph.UI.ViewModels.NodeData, Palmmedia.WpfGraph.UI, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null],[Palmmedia.WpfGraph.UI.ViewModels.EdgeData, Palmmedia.WpfGraph.UI, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]] [(null)] - Selected new element: Position: -24,41,0, Text: 6
2017-06-18 23:28:44,036 [MainThread] DEBUG Palmmedia.WpfGraph.UI.ViewModels.GraphViewModel`2[[Palmmedia.WpfGraph.UI.ViewModels.NodeData, Palmmedia.WpfGraph.UI, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null],[Palmmedia.WpfGraph.UI.ViewModels.EdgeData, Palmmedia.WpfGraph.UI, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]] [(null)] - Added node: Position: -7,41,0, Text: 7
2017-06-18 23:28:44,036 [MainThread] DEBUG Palmmedia.WpfGraph.UI.ViewModels.GraphViewModel`2[[Palmmedia.WpfGraph.UI.ViewModels.NodeData, Palmmedia.WpfGraph.UI, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null],[Palmmedia.WpfGraph.UI.ViewModels.EdgeData, Palmmedia.WpfGraph.UI, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]] [(null)] - Selected new element: Position: -7,41,0, Text: 7
2017-06-18 23:28:44,037 [MainThread] DEBUG Palmmedia.WpfGraph.UI.ViewModels.GraphViewModel`2[[Palmmedia.WpfGraph.UI.ViewModels.NodeData, Palmmedia.WpfGraph.UI, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null],[Palmmedia.WpfGraph.UI.ViewModels.EdgeData, Palmmedia.WpfGraph.UI, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]] [(null)] - Added node: Position: 10,41,0, Text: 8
2017-06-18 23:28:44,038 [MainThread] DEBUG Palmmedia.WpfGraph.UI.ViewModels.GraphViewModel`2[[Palmmedia.WpfGraph.UI.ViewModels.NodeData, Palmmedia.WpfGraph.UI, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null],[Palmmedia.WpfGraph.UI.ViewModels.EdgeData, Palmmedia.WpfGraph.UI, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]] [(null)] - Selected new element: Position: 10,41,0, Text: 8
2017-06-18 23:28:44,038 [MainThread] DEBUG Palmmedia.WpfGraph.UI.ViewModels.GraphViewModel`2[[Palmmedia.WpfGraph.UI.ViewModels.NodeData, Palmmedia.WpfGraph.UI, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null],[Palmmedia.WpfGraph.UI.ViewModels.EdgeData, Palmmedia.WpfGraph.UI, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]] [(null)] - Added node: Position: 27,41,0, Text: 9
2017-06-18 23:28:44,039 [MainThread] DEBUG Palmmedia.WpfGraph.UI.ViewModels.GraphViewModel`2[[Palmmedia.WpfGraph.UI.ViewModels.NodeData, Palmmedia.WpfGraph.UI, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null],[Palmmedia.WpfGraph.UI.ViewModels.EdgeData, Palmmedia.WpfGraph.UI, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]] [(null)] - Selected new element: Position: 27,41,0, Text: 9
2017-06-18 23:28:44,040 [MainThread] DEBUG Palmmedia.WpfGraph.UI.ViewModels.GraphViewModel`2[[Palmmedia.WpfGraph.UI.ViewModels.NodeData, Palmmedia.WpfGraph.UI, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null],[Palmmedia.WpfGraph.UI.ViewModels.EdgeData, Palmmedia.WpfGraph.UI, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]] [(null)] - Added node: Position: 44,41,0, Text: 10
2017-06-18 23:28:44,040 [MainThread] DEBUG Palmmedia.WpfGraph.UI.ViewModels.GraphViewModel`2[[Palmmedia.WpfGraph.UI.ViewModels.NodeData, Palmmedia.WpfGraph.UI, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null],[Palmmedia.WpfGraph.UI.ViewModels.EdgeData, Palmmedia.WpfGraph.UI, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]] [(null)] - Selected new element: Position: 44,41,0, Text: 10
2017-06-18 23:28:44,041 [MainThread] DEBUG Palmmedia.WpfGraph.UI.ViewModels.GraphViewModel`2[[Palmmedia.WpfGraph.UI.ViewModels.NodeData, Palmmedia.WpfGraph.UI, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null],[Palmmedia.WpfGraph.UI.ViewModels.EdgeData, Palmmedia.WpfGraph.UI, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]] [(null)] - Added node: Position: -24,58,0, Text: 11
2017-06-18 23:28:44,041 [MainThread] DEBUG Palmmedia.WpfGraph.UI.ViewModels.GraphViewModel`2[[Palmmedia.WpfGraph.UI.ViewModels.NodeData, Palmmedia.WpfGraph.UI, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null],[Palmmedia.WpfGraph.UI.ViewModels.EdgeData, Palmmedia.WpfGraph.UI, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]] [(null)] - Selected new element: Position: -24,58,0, Text: 11
2017-06-18 23:28:44,042 [MainThread] DEBUG Palmmedia.WpfGraph.UI.ViewModels.GraphViewModel`2[[Palmmedia.WpfGraph.UI.ViewModels.NodeData, Palmmedia.WpfGraph.UI, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null],[Palmmedia.WpfGraph.UI.ViewModels.EdgeData, Palmmedia.WpfGraph.UI, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]] [(null)] - Added node: Position: -7,58,0, Text: 12
2017-06-18 23:28:44,043 [MainThread] DEBUG Palmmedia.WpfGraph.UI.ViewModels.GraphViewModel`2[[Palmmedia.WpfGraph.UI.ViewModels.NodeData, Palmmedia.WpfGraph.UI, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null],[Palmmedia.WpfGraph.UI.ViewModels.EdgeData, Palmmedia.WpfGraph.UI, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]] [(null)] - Selected new element: Position: -7,58,0, Text: 12
2017-06-18 23:28:44,044 [MainThread] DEBUG Palmmedia.WpfGraph.UI.ViewModels.GraphViewModel`2[[Palmmedia.WpfGraph.UI.ViewModels.NodeData, Palmmedia.WpfGraph.UI, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null],[Palmmedia.WpfGraph.UI.ViewModels.EdgeData, Palmmedia.WpfGraph.UI, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]] [(null)] - Added node: Position: 10,58,0, Text: 13
2017-06-18 23:28:44,045 [MainThread] DEBUG Palmmedia.WpfGraph.UI.ViewModels.GraphViewModel`2[[Palmmedia.WpfGraph.UI.ViewModels.NodeData, Palmmedia.WpfGraph.UI, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null],[Palmmedia.WpfGraph.UI.ViewModels.EdgeData, Palmmedia.WpfGraph.UI, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]] [(null)] - Selected new element: Position: 10,58,0, Text: 13
